mode,rows,ae,true_abs,nonmonotone_rows,mae,wape_pct
persistence_all,633913,160231591.96466833,1431187575.1132917,0,12.036471578657244,11.195708707293978
true_theta_true_template_all,633913,78109477.09810863,1431187575.1132917,0,5.867522687551359,5.457668754001413
persistence_switch,30710,19443593.845457245,42727574.64710912,0,30.149313618112984,45.505961913456666
true_theta_true_template_switch,30710,4841565.185676951,42727574.64710912,0,7.507350150682965,11.331242706060133
persistence_unchanged,603203,140787998.11921114,1388460000.4661832,0,11.114318706354414,10.139867052125433
true_theta_true_template_unchanged,603203,73267911.91243167,1388460000.4661832,0,5.784036528840656,5.276919168563125
oracle_no_warp_three_anchors,633913,24611667.89935962,1431187575.1132917,0,1.8488091988708095,1.7196675213877106
oracle_template_anchor_span,633913,36396547.21452912,1431187575.1132917,0,2.73408009455174,2.5431011173813465
true_theta_template_T00,117309,18881783.493513763,209883045.33063754,0,7.664651026862211,8.996335775368848
no_warp_template_T00,117309,7244481.69468531,209883045.33063754,0,2.9407404273716304,3.451675519226803
true_theta_template_T01,26119,19252616.256170698,48281418.52177996,0,35.10054941972674,39.875829761475956
no_warp_template_T01,26119,987967.4840256888,48281418.52177996,0,1.8012202101110282,2.046268552735277
true_theta_template_T02,26393,3407496.6177611407,50564664.67694297,0,6.147908297764993,6.738888984099065
no_warp_template_T02,26393,3684579.244994239,50564664.67694297,0,6.647829141194074,7.286865775804055
true_theta_template_T03,24170,5354943.185323521,35386215.98653128,0,10.550156993761492,15.132850563512418
no_warp_template_T03,24170,646274.3909931913,35386215.98653128,0,1.2732714522000734,1.8263450130954284
true_theta_template_T04,11877,1037563.5130832427,8989090.409936422,0,4.159955067550499,11.54247499765197
no_warp_template_T04,11877,220086.9751927116,8989090.409936422,0,0.8824056707951407,2.448378703026842
true_theta_template_T05,19515,8904777.504510716,47716641.08651965,0,21.728773969988204,18.661786122716816
no_warp_template_T05,19515,189884.47107890822,47716641.08651965,0,0.46334192520749173,0.3979418222976138
true_theta_template_T06,18113,2669050.801534496,46390936.08059694,0,7.016930227788239,5.753388543178867
no_warp_template_T06,18113,2609180.316639807,46390936.08059694,0,6.859530820115537,5.624332115451966
true_theta_template_T07,9091,2005770.3857407002,13515162.97253174,0,10.50631124314838,14.84088937600852
no_warp_template_T07,9091,882933.5414598379,13515162.97253174,0,4.624843730638035,6.53291079992387
true_theta_template_T08,26940,1028629.548951768,31488134.005935375,0,1.8182019106864777,3.266721199668027
no_warp_template_T08,26940,775964.0879908607,31488134.005935375,0,1.3715913458317615,2.4643063569425703
true_theta_template_T09,18240,9360992.712357199,35477345.5171114,0,24.438681893163114,26.385831791846474
no_warp_template_T09,18240,3088324.4711741754,35477345.5171114,0,8.06266831446892,8.705060725821827
true_theta_template_T10,249578,5795104.039586005,725182161.8293805,0,1.1056957553084854,0.7991239090833382
no_warp_template_T10,249578,3758648.1106539946,725182161.8293805,0,0.7171435117056629,0.5183039942918952
true_theta_template_T11,7735,410749.0395753832,17554539.81538829,0,2.5286978765375885,2.3398450993020115
no_warp_template_T11,7735,523343.11047089304,17554539.81538829,0,3.2218617322060705,2.981240841255953
true_theta_template_FLAT,78833,0.0,160758218.88000003,0,0.0,0.0
no_warp_template_FLAT,78833,0.0,160758218.88000003,0,0.0,0.0
oracle_destination_model_switch,30710,21291750.34065082,42727574.64710912,90,33.015072398708064,49.83140399730455
true_price_predicted_quantity_switch,30710,7711447.32826653,42727574.64710912,0,11.95740076641164,18.047940684572122
predicted_price_true_quantity_switch,30710,19311328.3568524,42727574.64710912,90,29.944222227678903,45.1964065743174
predicted_except_true_qshares_switch,30710,21034579.266810995,42727574.64710912,90,32.61630191315221,49.22951850306851
predicted_except_true_qscale_switch,30710,19569332.609832093,42727574.64710912,90,30.344284644108626,45.80024204850608
